,Unnamed: 0,num_acidente,chv_localidade,data_acidente,uf_acidente,ano_acidente,mes_acidente,mes_ano_acidente,codigo_ibge,dia_semana,fase_dia,tp_acidente,cond_meteorologica,end_acidente,num_end_acidente,cep_acidente,bairro_acidente,km_via_acidente,latitude_acidente,longitude_acidente,hora_acidente,tp_rodovia,cond_pista,tp_cruzamento,tp_pavimento,tp_curva,lim_velocidade,tp_pista,ind_guardrail,ind_cantcentral,ind_acostamento,qtde_acidente,qtde_acid_com_obitos,qtde_envolvidos,qtde_feridosilesos,qtde_obitos
11628,3081029,1734069,RR1400100202209,2022-09-02,RR,2022,9,92022,1400100,SEXTA-FEIRA,MADRUGADA,COLISAO TRANSVERSAL,NAO INFORMADO,R ACARA-ACU,0,69304360,SANTA TEREZA,0,2.8234839,-60.7311925,3000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11629,3081030,2246396,RR1400100202209,2022-09-18,RR,2022,9,92022,1400100,DOMINGO,MANHA,COLISAO,NAO INFORMADO,R MESTRE ALBANO,4031,0,CAMBARA,0,2.8155044,-60.7134282,94100,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11630,3081031,50067,RR1400100202209,2022-09-03,RR,2022,9,92022,1400100,SABADO,MADRUGADA,COLISAO TRASEIRA,NAO INFORMADO,AV MARIO H  DE MELO,0,0,CAIMBE,0,2.8233726,-60.7104939,33000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11631,3081032,1708063,RR1400100202209,2022-09-04,RR,2022,9,92022,1400100,DOMINGO,MANHA,COLISAO TRANSVERSAL,NAO INFORMADO,AV PADRE ANCHIETA,0,69314214,JARDIM PRIMAVERA,0,2.8266189,-60.7376256,81000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11632,3081033,4467265,RR1400100202209,2022-09-16,RR,2022,9,92022,1400100,SEXTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,R RIO EREU,0,69315014,ARACELIS,0,2.7890855,-60.7255466,120000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11633,3081034,2912804,RR1400100202209,2022-09-27,RR,2022,9,92022,1400100,TERCA-FEIRA,MANHA,COLISAO TRANSVERSAL,NAO INFORMADO,AV BENJAMIN CONSTANT,0,0,CENTRO,0,2.8166881,-60.6734619,82000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11634,3081035,1003820,RR1400100202209,2022-09-05,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,AV DOM APARECIDO JOSE DIAS,0,69317488,CIDADE SATELITE,0,2.8508046,-60.7561838,144000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11635,3081036,3695133,RR1400100202209,2022-09-27,RR,2022,9,92022,1400100,TERCA-FEIRA,NOITE,COLISAO TRANSVERSAL,NAO INFORMADO,AV GETULIO VARGAS,0,0,SAO PEDRO,0,2.8312744,-60.6590065,185800,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11636,3081037,4291590,RR1400472202209,2022-09-14,RR,2022,9,92022,1400472,QUARTA-FEIRA,NOITE,COLISAO TRANSVERSAL,NAO INFORMADO,AV AYRTON SENNA,0,69373000,,0,0.9439379,-60.42963,183000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11637,3081038,2036657,RR1400100202209,2022-09-24,RR,2022,9,92022,1400100,SABADO,MADRUGADA,COLISAO TRANSVERSAL,NAO INFORMADO,R JOCA FARIAS,0,69317558,CARANA,0,2.8467066,-60.7189679,15800,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11638,3081039,935439,RR1400407202209,2022-09-24,RR,2022,9,92022,1400407,SABADO,MADRUGADA,ATROPELAMENTO COM PEDESTRE,NAO INFORMADO,BR 401,0,0,,185,3.8802297,-59.6329694,35000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11639,3081040,918836,RR1400100202209,2022-09-20,RR,2022,9,92022,1400100,TERCA-FEIRA,DESCONHECIDO,COLISAO,NAO INFORMADO,AV ATAIDE TEIVE,0,0,,0,2.8178426,-60.7250229,999999,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,1,1,0,1
11640,3081041,279798,RR1400233202209,2022-09-08,RR,2022,9,92022,1400233,QUINTA-FEIRA,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,AV CANARIO,0,69378000,,0,0.8807508,-59.69594,153000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11641,3081042,1551726,RR1400100202209,2022-09-12,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,NOITE,COLISAO TRANSVERSAL,NAO INFORMADO,R IZIDIO GALDINO DA SILVA,0,0,SEN. HELIO CAMPOS,0,2.7975612,-60.7545952,212000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11642,3081043,2918700,RR1400100202209,2022-09-21,RR,2022,9,92022,1400100,QUARTA-FEIRA,NOITE,COLISAO TRASEIRA,NAO INFORMADO,AV CARLOS P  DE MELO,497,0,JARDIM FLORESTA,0,2.8206339,-60.6737553,194700,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11643,3081044,3249331,RR1400100202209,2022-09-07,RR,2022,9,92022,1400100,QUARTA-FEIRA,NOITE,COLISAO,NAO INFORMADO,RR 205,0,0,MURILO TEIXEIRA,0,2.8395799,-60.740121,191500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11644,3081045,3252249,RR1400100202209,2022-09-10,RR,2022,9,92022,1400100,SABADO,NOITE,COLISAO,NAO INFORMADO,R JERICO,294,69314408,NOVA CANAA,0,2.8126078,-60.7365617,213000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11645,3081046,1117229,RR1400100202209,2022-09-19,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,TARDE,COLISAO TRASEIRA,NAO INFORMADO,AV GLAYCON DE PAIVA,0,0,CENTRO,0,2.816562,-60.684368,123500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11646,3081047,1067583,RR1400100202209,2022-09-19,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,TARDE,COLISAO,NAO INFORMADO,AV JARDIM,0,69317529,CIDADE SATELITE,0,2.8430928,-60.7559014,120600,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11647,3081048,2714540,RR1400100202209,2022-09-30,RR,2022,9,92022,1400100,SEXTA-FEIRA,NOITE,COLISAO TRANSVERSAL,NAO INFORMADO,AV ATAIDE TEIVE,0,0,ASA BRANCA,0,2.8178426,-60.7250229,205500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11648,3081049,3626953,RR1400100202209,2022-09-30,RR,2022,9,92022,1400100,SEXTA-FEIRA,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,R ADOLFO BRASIL,0,69305020,SAO FRANCISCO,0,2.8370684,-60.6763989,123000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11649,3081050,849035,RR1400100202209,2022-09-10,RR,2022,9,92022,1400100,SABADO,MANHA,COLISAO LATERAL,NAO INFORMADO,R MANOEL FELIPE,1271,69309170,BURITIS,0,2.8120122,-60.7081489,71100,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0
11650,3081051,631835,RR1400100202209,2022-09-12,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,MANHA,COLISAO TRASEIRA,NAO INFORMADO,AV CARLOS P  DE MELO,0,0,CARANA,0,2.8206339,-60.6737553,75000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11651,3081052,3033699,RR1400100202209,2022-09-02,RR,2022,9,92022,1400100,SEXTA-FEIRA,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,R MESTRE ALBANO,0,0,BURITIS,0,2.8155044,-60.7134282,153500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11652,3081053,4407510,RR1400100202209,2022-09-12,RR,2022,9,92022,1400100,SEGUNDA-FEIRA,TARDE,COLISAO TRASEIRA,NAO INFORMADO,AV VILLE ROY,7001,0,SAO VICENTE,0,2.8314066,-60.6637843,164000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11653,3081054,1448082,RR1400100202209,2022-09-27,RR,2022,9,92022,1400100,TERCA-FEIRA,NOITE,COLISAO TRASEIRA,NAO INFORMADO,AV CARLOS P  DE MELO,0,0,SANTA TEREZA,0,2.8206339,-60.6737553,221800,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11654,3081055,4157615,RR1400100202209,2022-09-08,RR,2022,9,92022,1400100,QUINTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,AV BRILHO DO SOL,823,69316138,BELA VISTA,0,2.7715947,-60.7222468,174400,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11655,3081056,3003284,RR1400472202209,2022-09-29,RR,2022,9,92022,1400472,QUINTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,R BOAS NOVAS,0,69373000,,0,0.58133,-60.455586,175800,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11656,3081057,2343877,RR1400100202209,2022-09-08,RR,2022,9,92022,1400100,QUINTA-FEIRA,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,R BENJAMIN PEREIRA DE MELO,0,69314464,PINTOLANDIA,0,2.8019207,-60.7522104,123000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11657,3081058,2305839,RR1400472202209,2022-09-13,RR,2022,9,92022,1400472,TERCA-FEIRA,MANHA,CHOQUE,NAO INFORMADO,AV DRA  YANDARA,0,69373000,,0,0.9447221,-60.4342643,75500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11658,3081059,1371880,RR1400472202209,2022-09-13,RR,2022,9,92022,1400472,TERCA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,AV SEN. HELIO CAMPOS,0,69373000,,0,0.9396299,-60.4394125,121000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11659,3081060,1905356,RR1400100202209,2022-09-07,RR,2022,9,92022,1400100,QUARTA-FEIRA,MANHA,COLISAO,NAO INFORMADO,AV BRASIL,0,0,CENTENARIO,0,2.772108,-60.7150036,65000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11660,3081061,1143049,RR1400100202209,2022-09-15,RR,2022,9,92022,1400100,QUINTA-FEIRA,MANHA,COLISAO LATERAL,NAO INFORMADO,AV MARIO H  DE MELO,0,0,BURITIS,0,2.8233726,-60.7104939,84000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11661,3081062,3008844,RR1400100202209,2022-09-16,RR,2022,9,92022,1400100,SEXTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,AV VENEZUELA,0,0,MECEJANA,0,2.8305083,-60.6986649,173000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11662,3081063,204552,RR1400100202209,2022-09-03,RR,2022,9,92022,1400100,SABADO,MANHA,COLISAO TRANSVERSAL,NAO INFORMADO,AV GLAYCON DE PAIVA,0,0,CENTRO,0,2.816562,-60.684368,95700,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11663,3081064,216920,RR1400100202209,2022-09-30,RR,2022,9,92022,1400100,SEXTA-FEIRA,NOITE,COLISAO TRASEIRA,NAO INFORMADO,AV MARIO H  DE MELO,0,0,LIBERDADE,0,2.8233726,-60.7104939,212400,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11664,3081065,2134846,RR1400100202209,2022-09-25,RR,2022,9,92022,1400100,DOMINGO,NOITE,CHOQUE,NAO INFORMADO,AV MARIO H  DE MELO,0,0,TANCREDO NEVES,0,2.8233726,-60.7104939,235400,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0
11665,3081066,2143242,RR1400100202209,2022-09-04,RR,2022,9,92022,1400100,DOMINGO,MADRUGADA,CHOQUE,NAO INFORMADO,R ALMERINDO DOS SANTOS,0,69309000,BURITIS,0,2.8156717,-60.7055906,34000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11666,3081067,2808780,RR1400100202209,2022-09-30,RR,2022,9,92022,1400100,SEXTA-FEIRA,MADRUGADA,COLISAO TRANSVERSAL,NAO INFORMADO,AV MARIO H  DE MELO,0,0,MECEJANA,0,2.8233726,-60.7104939,22000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11667,3081068,262889,RR1400100202209,2022-09-17,RR,2022,9,92022,1400100,SABADO,NOITE,COLISAO LATERAL,NAO INFORMADO,AV SANTOS DUMONT,0,0,SAO FRANCISCO,0,2.8319414,-60.667801,180300,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11668,3081069,193255,RR1400209202209,2022-09-30,RR,2022,9,92022,1400209,SEXTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,AV DR  ZANNY,0,69360000,,0,1.8172089,-61.1276426,130000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11669,3081070,225465,RR1400159202209,2022-09-03,RR,2022,9,92022,1400159,SABADO,TARDE,COLISAO LATERAL,NAO INFORMADO,R CASEMIRO JUNIOR,0,69380000,,0,3.3614863,-59.8316262,154000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11670,3081071,1874909,RR1400100202209,2022-09-03,RR,2022,9,92022,1400100,SABADO,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,R FORTE CASTELO BRANCO,0,0,SILVIO LEITE,0,2.8129555,-60.7182366,120400,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11671,3081072,907658,RR1400100202209,2022-09-03,RR,2022,9,92022,1400100,SABADO,MADRUGADA,COLISAO TRASEIRA,NAO INFORMADO,AV DOM APARECIDO JOSE DIAS,0,69317488,CIDADE SATELITE,0,2.8508046,-60.7561838,1500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11672,3081073,397396,RR1400100202209,2022-09-21,RR,2022,9,92022,1400100,QUARTA-FEIRA,TARDE,ENGAVETAMENTO,NAO INFORMADO,VIA DAS FLORES,0,0,PRICUMA,0,2.80722,-60.6965079,144100,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,4,4,0
11673,3081074,1366514,RR1400100202209,2022-09-20,RR,2022,9,92022,1400100,TERCA-FEIRA,NOITE,COLISAO TRANSVERSAL,NAO INFORMADO,AV PRINCESA ISABEL,0,0,CAIMBE,0,2.8277844,-60.7150654,194700,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,4,4,0
11674,3081075,2598991,RR1400308202209,2022-09-20,RR,2022,9,92022,1400308,TERCA-FEIRA,NOITE,COLISAO TRASEIRA,NAO INFORMADO,AV EMACIPACAO,0,69340000,SAGRADA FAMILIA,0,2.4472623,-60.9262961,182000,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
11675,3081076,878325,RR1400472202209,2022-09-01,RR,2022,9,92022,1400472,QUINTA-FEIRA,TARDE,COLISAO TRANSVERSAL,NAO INFORMADO,AV ULISSES GUIMARAES,0,69373000,,0,0.9439379,-60.42963,130500,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0
